"hazard.ratio","pvalue","taxa","cancer"
NA,NA,"domain_Archaea","CUT"
NA,NA,"domain_Bacteria","CUT"
NA,NA,"domain_Eukaryota","CUT"
0.420786386942743,0.431260892923806,"domain_Viruses","CUT"
NA,NA,"kingdom_Amoebozoa","CUT"
NA,NA,"kingdom_Archaea","CUT"
NA,NA,"kingdom_Chromista","CUT"
NA,NA,"kingdom_Eubacteria","CUT"
NA,NA,"kingdom_Eukaryota","CUT"
NA,NA,"kingdom_Fungi","CUT"
NA,NA,"kingdom_Proteoarchaeota","CUT"
0.324037397528064,0.195836015104742,"kingdom_Terrabacteria","CUT"
NA,NA,"kingdom_Viridiplantae","CUT"
NA,NA,"phylum_Actinobacteria","CUT"
NA,NA,"phylum_Apicomplexa","CUT"
NA,NA,"phylum_Ascomycota","CUT"
NA,NA,"phylum_Bacillariophyta","CUT"
0.420786386942743,0.431260892923806,"phylum_Bacteroidetes","CUT"
NA,NA,"phylum_Balneolaeota","CUT"
NA,NA,"phylum_Basidiomycota","CUT"
75283065.0089805,0.998793330912986,"phylum_Cercozoa","CUT"
NA,NA,"phylum_Chloroflexi","CUT"
NA,NA,"phylum_Chlorophyta","CUT"
NA,NA,"phylum_Crenarchaeota","CUT"
NA,NA,"phylum_Cryptophyta","CUT"
NA,NA,"phylum_Cyanobacteria","CUT"
0.563567394136879,0.600948310543675,"phylum_Deinococcus","CUT"
NA,NA,"phylum_Euglenozoa","CUT"
NA,NA,"phylum_Euryarchaeota","CUT"
NA,NA,"phylum_Evosea","CUT"
NA,NA,"phylum_Firmicutes","CUT"
NA,NA,"phylum_Fusobacteria","CUT"
NA,NA,"phylum_Gemmatimonadetes","CUT"
2.45494294573518,0.3006837058097,"phylum_Microsporidia","CUT"
NA,NA,"phylum_Planctomycetes","CUT"
75283064.3888053,0.998793330909582,"phylum_Proteobacteria","CUT"
NA,NA,"phylum_Rhodophyta","CUT"
NA,NA,"phylum_Streptophyta","CUT"
0.383858744231249,0.382768271098459,"phylum_Tenericutes","CUT"
NA,NA,"class_Aconoidasida","CUT"
NA,NA,"class_Actinobacteria","CUT"
75283064.3888053,0.998793330909582,"class_Alphaproteobacteria","CUT"
NA,NA,"class_Ardenticatenia","CUT"
NA,NA,"class_Bacillariophyceae","CUT"
NA,NA,"class_Bacilli","CUT"
NA,NA,"class_Bangiophyceae","CUT"
75283064.3888053,0.998793330909582,"class_Betaproteobacteria","CUT"
NA,NA,"class_Bryopsida","CUT"
75283065.0089805,0.998793330912986,"class_Chlorarachniophyceae","CUT"
