"","Input Sample","B cells naive","B cells memory","T cells CD8","T cells CD4 naive","T cells CD4 memory resting","T cells CD4 memory activated","T cells follicular helper","T cells regulatory (Tregs)","T cells gamma delta","NK cells resting","NK cells activated","Macrophages M0","Macrophages M1","Macrophages M2","Dendritic cells resting","Dendritic cells activated","Mast cells resting","Mast cells activated","Eosinophils","Neutrophils","TILs","cancer"
"1","SL218335",0.041739367968846,0.004394863408651,0.0325847742612764,0,0.249541198897509,0.0975534916012675,0.0257808299129188,0,0,0.0322624336237977,0,0.167373161330535,0.0496040885361005,0.102347440097968,0,0,0,0.0519634883084513,0,0.0190926766656213,0.874237814612943,"THO"
"2","SL218336",0,0,0,0.013610269404233,0.0500293483318289,0,0,0,0.0133247248013447,0,0.00588078155646352,0.0837157802982262,2e-04,0.0784200853941309,0,0,0.00969910655993064,0,0,0,0.254880096346158,"SAR"
"3","SL218346",0,0,0.00812612954096203,0.0213543058280638,0.0721619390566863,0.00364925467203435,0,0,0,0.0284558343738463,0,0.0745757119141872,0,0.0118737807074827,0,0,0,0.0439063462899569,0,0,0.264103302383219,"GI"
"4","SL218347",0.143807645590855,0.112681985863686,0.0360593053922006,0.0856292318565336,0.112653268483359,0.0566201135553231,0,0,0,0.074400545958984,0.00455896298176739,0.0312800929751389,0.024541335870726,0.0574015206437295,0,0.0099143233206029,0,0.201224090106149,0.00171036147363893,0.00134186096745085,0.953824645040145,"GI"
"5","SL218349",0,0.00761633183777623,0.00908231927041829,0,0.0836312314442099,0.014214079719217,5e-04,0,0,0,0.0210795917454188,0.156958690206504,0.0238252622664879,0.177324461927544,0,0.0300609085717501,0,0.130301858209425,0,0,0.65459473519875,"THO"
"6","SL218351",0,0,0.0661311409185608,0.0170373999539087,0.0914731152354378,0,0,0,0,0,0.0218863395464489,0,0.00584376397150739,0.108705288698517,0.00687579945241163,0,0,0.0194398537583116,0,0.001,0.338392701535104,"THO"
"7","SL218362",0,0.0193961454653828,0.205484895542547,0,0.135808529899998,0,0.00694956097113101,0,0,0,0.049353851185267,0.0553948864254715,0.047773005371178,0.385546073776176,0,0.011818090850054,0,0.102790157262366,0,0.0129939027170766,1.03330909946665,"RCC"
"8","SL242314",0.0297839831702586,0,0.0676225107917429,0,0.160878440988404,0,0.0420608461760762,0.00496484751514021,0,0,0.0246634904500302,0.0507210490568424,0.029082262640575,0.0741082374649057,0.0257532320549121,0,0,0.389170487692545,0.00285389326505532,0,0.901663281266487,"GI"
"9","SL242315",0.0214918334256802,0,0.0164312060046194,0,0.0769006719705543,0,0,0,0,0.0235209208345964,0,0,0,0.0973651884454553,0,0,0.044694029180702,0,0.0201383517901982,0,0.300542201651806,"GI"
"10","SL242316",0.154942425767103,0,0.0369065361760297,0,0.323854405248194,0,0.012217923031107,0,0,0,0.0435953672485041,0.0647519178365342,0.0172109384030083,0.0821889018866966,0.00641276038465109,0,0,0.0164142961028136,6e-04,0,0.759095472084641,"GI"
"11","SL242317",0,0.0329829514205868,0.261136163097641,0.00199241378684685,0,0.0348201404385489,0,0.00137740954837061,0,0,0.0877260537131281,0,0.0424592785212986,0.215366763212335,0,0,0,0.00518523510922689,0,0.0115288682734347,0.694575277121417,"RCC"
"12","SL242318",0.0989990174030624,0,0.00641133236512672,0,0.10692054755362,0,0.0252392761837602,0,0,0.02295397859878,0,0.0318224197512241,1e-04,0.00773257086418288,0.0105062560189718,9e-04,0,0.0445672712669279,0.00249061823112075,0,0.358643288236776,"GI"
"13","SL242320",0,0,0.218172263017429,0,0.0542790433101375,0,0.0548226829962819,0.0121463662206806,0,0,0.150881235996709,0.107321650275368,0.0946728519052545,0.622895459033784,0,0,0,0.0395669641082736,0,0,1.35475851686392,"SAR"
"14","SL242328",0.00351682031735116,0,0.00298448787848162,0,0.0742621888049577,0.0273401166948464,0,0,0,0.0283553861449011,0,0.069130851757474,0.00200112098653115,0.0251723743868407,0,0,0,0.0548309820103504,0,0,0.287594328981734,"GI"
"15","SL242329",0,0.00725335094009351,0.0139286996563539,0,0.111342965005508,0.00253542678976478,0,0,0,0.0355904362398965,0,0.121163681755096,0.00268182272954775,0.0383247403744004,0,0,0,0.139639061471056,0.00453157291085561,6e-04,0.477591757872572,"GI"
"16","SL242330",0.0251063819397567,0,0.117370577091079,0,0.365370230885702,0,0,0,0,0,0.0518197969700972,0.197214438006099,0.0373007908989536,0.354954578536966,0.0580690972282108,0,0,0.170294659132425,0,0.00789852454337643,1.38539907523267,"THO"
