"node","betweencent"
"ABHD14A-ACY1",0
"s__Plasmid pWW100",0
"k__Bamfordvirae",26484.5707492915
"k__Loebvirae",0
"k__Metazoa",0
"k__Pararnavirae",0
"k__Shotokuvirae",0.0140804597701149
"k__unclassified-c__Candidatus",3322.66666666665
"k__unclassified-c__Naldaviricetes",0.0382432121562556
"1/2-SBSRNA4",0
"k__unclassified-g__Pandoravirus",0
"k__unclassified-p__Aquificae",0
"k__unclassified-p__Candidatus",3.5
"k__unclassified-p__Chlamydiae",227.283333333333
"k__unclassified-p__Chlorobi",0.12134411794321
"k__unclassified-p__Chrysiogenetes",0
"k__unclassified-p__Ciliophora",0
"k__unclassified-p__Crenarchaeota",6632.6238095237
"k__unclassified-p__Deferribacteres",0
"k__unclassified-p__Dictyoglomi",0
"k__unclassified-p__Elusimicrobia",0.0129416282642089
"k__unclassified-p__Ignavibacteriae",1.42857142857143
"k__unclassified-p__Kiritimatiellaeota",53.7142857142859
"k__unclassified-p__Tenericutes",29.6047619047619
"k__unclassified-p__Thermodesulfobacteria",0.236836843937621
"k__unclassified-p__Thermotogae",0
"k__unclassified-s__Abyssogena phaseoliformis symbiont",0
"k__unclassified-s__Apis mellifera filamentous virus",0
"k__unclassified-s__Isorropodon fossajaponicum symbiont",0
"k__unclassified-s__Leptopilina boulardi filamentous virus",0
"k__unclassified-s__Plasmid pWW100",0
"p__Aquificae",0
"p__Artverviricota",0
"p__Candidatus",3.5
"p__Chlamydiae",227.283333333333
"p__Chlorobi",0.12134411794321
"p__Chordata",0
"p__Chrysiogenetes",0
"p__Ciliophora",0
"p__Cossaviricota",0.0140804597701149
"p__Crenarchaeota",6632.6238095237
"p__Deferribacteres",0
"p__Dictyoglomi",0
"p__Duplornaviricota",0
"p__Elusimicrobia",0.0129416282642089
"p__Hofneiviricota",0
"p__Ignavibacteriae",1.42857142857143
"p__Kiritimatiellaeota",53.7142857142859
"p__Kitrinoviricota",4
"p__Lenarviricota",0
"p__Negarnaviricota",1.55415336602481
"p__Nucleocytoviricota",334.366952605136
"p__Peploviricota",0.00173913043478261
"p__Preplasmiviricota",3913.03259634457
"p__Tenericutes",29.6047619047619
"p__Thermodesulfobacteria",0.236836843937621
"p__Thermotogae",0
"p__unclassified-c__Candidatus",3322.66666666665
"p__unclassified-c__Naldaviricetes",0.0382432121562556
"p__unclassified-g__Pandoravirus",0
"p__unclassified-s__Abyssogena phaseoliformis symbiont",0
"p__unclassified-s__Apis mellifera filamentous virus",0
"p__unclassified-s__Isorropodon fossajaponicum symbiont",0
"p__unclassified-s__Leptopilina boulardi filamentous virus",0
"p__unclassified-s__Plasmid pWW100",0
"c__Acidithiobacillia",0.0298423423423423
"c__Acidobacteriia",10031.2
"c__Alsuviricetes",4
"c__Amabiliviricetes",0
"c__Aquificae",0
"c__Archaeoglobi",0
"c__Blastocatellia",0
"c__Caldilineae",870.4
"c__Chlamydiia",227.283333333333
"c__Chlorobia",0.12134411794321
"c__Chloroflexia",0
"c__Chrymotiviricetes",0
"c__Chrysiogenetes",0
"c__Chthonomonadetes",5.99999999999999
"c__Deferribacteres",0
"c__Dehalococcoidia",0
"c__Dictyoglomia",0
"c__Dothideomycetes",2.2
"c__Endomicrobia",0.0129416282642089
"c__Erysipelotrichia",2.33333333333333
"c__Faserviricetes",0
"c__Fimbriimonadia",1.8
"c__Flasuviricetes",0
"c__Gloeobacteria",0
"c__Herviviricetes",0.00173913043478261
"c__Ignavibacteria",1.42857142857143
"c__Kiritimatiellae",53.7142857142859
"c__Ktedonobacteria",3.4
"c__Mammalia",0
"c__Megaviricetes",333.742321767809
"c__Methanobacteria",79.1000000000001
"c__Methanococci",0
"c__Methanomicrobia",0.0520288552486458
"c__Methylacidiphilae",0
"c__Mollicutes",29.6047619047619
"c__Monjiviricetes",0
"c__Naldaviricetes",0.0382432121562556
"c__Nitriliruptoria",2
"c__Nitrososphaeria",0
"c__Oligohymenophorea",0
"c__Opitutae",6.66666666666667
"c__Papovaviricetes",0.0140804597701149
"c__Phycisphaerae",4446.99999999999
"c__Pokkesviricetes",0
"c__Revtraviricetes",0
"c__Rubrobacteria",5
"c__Saprospiria",39.5
"c__Spartobacteria",1482
"c__Stelpaviricetes",0.0129416282642089
"c__Tectiliviricetes",3913.03259634457
"c__Tepidiformia",4.8
"c__Thermococci",15.2879419260988
"c__Thermodesulfobacteria",0.236836843937621
"c__Thermodesulfovibrionia",0
"c__Thermoleophilia",0
